gene,Mecp2_ratio,GFP_ratio,Mecp2_log_ratio,GFP_log_ratio,log_ratio_change
Zfp597,0.95740021932563,0.8140077289038944,-0.06280595833045334,-0.29688560211772735,0.23407964378727403
Crebbp,0.8091720146056728,0.8820048628944228,-0.3054816700576318,-0.18114148484795894,-0.12434018520967288
Hmox2,0.9325808493316841,1.017582305190699,-0.10069929083456595,0.025145488828869418,-0.12584477966343538
Nagpa,1.0080059403186539,0.822427964759219,0.011504140864625943,-0.28203877401616906,0.293542914880795
Abat,0.8383142506153541,0.9379062876081184,-0.25443694067755207,-0.09248431410523254,-0.1619526265723195
Pmm2,0.9030016604279485,0.9084559529716583,-0.14719945436952933,-0.138511528661183,-0.008687925708346339
Usp7,0.867826636267796,0.8305056517416883,-0.20452122730644043,-0.2679381088647172,0.06341688155827677
Atf7ip2,0.9304852461267134,0.9651445532085786,-0.10394481994799194,-0.0511830586423747,-0.052761761305617244
Tekt5,0.7232049519240352,0.799642237914471,-0.4675235386887558,-0.3225734161760644,-0.1449501225126914
Nubp1,1.019827627472932,0.8684147841866777,0.028325326701685926,-0.2035438077974489,0.23186913449913482
Dexi,0.8709531505045179,0.9690799375274881,-0.1993329780754199,-0.045312419218244665,-0.15402055885717522
Zc3h7a,0.9481613070685817,0.8660369761509121,-0.07679557467610611,-0.20749947158579488,0.13070389690968875
Cpped1,1.019276742240352,1.0158441201024295,0.0275458085717829,0.022679039503158874,0.0048667690686240266
Mir193b,0.9430328819499562,0.7051115390464057,-0.08462001879178914,-0.5040766046085299,0.4194565858167407
A930007A09Rik,0.7885511891397485,0.9432681633516962,-0.3427236836623211,-0.084260119385372,-0.25846356427694905
Rrn3,1.0548269721645354,0.9827947197014051,0.07700636682564446,-0.025037988389016008,0.10204435521466047
Marf1,0.8882804609205193,0.8366516120346158,-0.17091283757294734,-0.257301096033246,0.08638825846029868
Myh11,0.9854453087922858,0.8340161203234876,-0.021152289497464408,-0.2618528257426124,0.24070053624514803
Spidr,1.0994315488209427,1.1363506979942495,0.13675778404667976,0.18440814485712492,-0.04765036081044516
Pkp2,1.0100600845281822,1.0793826339102457,0.01444111582118451,0.1102063812196383,-0.09576526539845379
Spag6l,1.0763022885526798,1.011041505369515,0.10608332784576911,0.015842224107061584,0.09024110373870753
Mapk1,0.9541745434737475,1.0318130975723185,-0.06767489786936462,0.04518166492237723,-0.11285656279174185
Ypel1,0.9273773910913468,1.07245369433689,-0.1087715397923397,0.10091535738193796,-0.20968689717427766
Ydjc,0.8778913348039213,0.7880493543517201,-0.18788572054999014,-0.3436421085448619,0.15575638799487174
Lztr1,0.8415380850169798,0.7607415591640692,-0.2488995306146084,-0.3945216735345387,0.1456221429199303
Smpd4,0.8609113189741424,0.8154326385942359,-0.21606345919953435,-0.29436239143879295,0.0782989322392586
Slc25a1,0.9235587764695369,0.6652637417899749,-0.11472431578816573,-0.5880016888018481,0.4732773730136824
Dgcr6,0.9268400939699368,0.9595762140308258,-0.10960764011011034,-0.0595306983284179,-0.05007694178169245
Rtn4r,0.8020351436315905,0.8427132570945094,-0.3182626407106876,-0.24688627385038758,-0.07137636686030002
Comt,0.8472569892975217,0.9441965423579979,-0.23912846186999828,-0.08284089507625816,-0.15628756679374012
Gnb1l,1.1261956288107133,0.8844431254264565,0.1714574563707704,-0.177158722241122,0.3486161786118924
B3gnt5,1.1954745537403877,1.1003433875768558,0.2575834219079626,0.13795382033641465,0.11962960157154792
Map6d1,0.7944045284503221,0.85898775571229,-0.3320542480102478,-0.21929052801612348,-0.11276371999412432
Eif2b5,0.8915246126415148,0.880968428815099,-0.16565346748498486,-0.18283777654533337,0.017184309060348513
Gm15760,0.7650257947513115,0.7919218123527263,-0.38641970220310523,-0.33657009703109003,-0.0498496051720152
Ece2,0.8290161906817354,0.8500283622072092,-0.2705278170648242,-0.23441711559814918,-0.03611070146667503
Chrd,0.9072504554907449,0.802307942833467,-0.1404272188685353,-0.31777201490524853,0.17734479603671324
2510009E07Rik,1.0197714270231983,0.8249321413032445,0.028245820771372408,-0.2776526463552959,0.3058984671266683
Dgkg,0.8234028420312881,0.8738006237522016,-0.2803296666588707,-0.19462395925413692,-0.0857057074047338
BC106179,0.9136251846496579,0.8327995817232287,-0.13032567484730948,-0.26395875084894593,0.13363307600163646
Plaat1,0.9785989516031129,1.0271401986297475,-0.031210357709909823,0.03863311453179502,-0.06984347224170484
Lrrc15,0.8305739521699043,0.7496151590693353,-0.26781946712244165,-0.4157779667394872,0.14795849961704555
Pak2,1.0237479843738209,0.9251600940563337,0.03386061139082059,-0.11222505691657916,0.14608566830739975
Fbxo45,0.9096479752912483,1.0444888848686635,-0.1366197501893541,0.06279713976722189,-0.19941688995657597
Rnf168,0.9711113368974718,0.9408902146617985,-0.042291386285383266,-0.08790169924821654,0.04561031296283328
Tnk2,0.9547817520127846,0.8984618512454795,-0.06675710129154896,-0.1544708467864069,0.08771374549485794
Lrch3,1.142843384579142,1.139316439673511,0.1926277099633408,0.18816850432688415,0.004459205636456659
1700007L15Rik,0.9492196694593035,0.8738778618690108,-0.07518609893053123,-0.19449644032078886,0.11931034139025763
Itgb5,0.9412007389148234,0.9207244013507005,-0.08742564169836389,-0.11915871306132804,0.031733071362964146
Hacd2,1.0293916470620146,0.9200207783499533,0.041791981040511524,-0.12026165058301083,0.16205363162352235
Parp14,0.8479821437519565,0.8786046924023352,-0.23789420909856915,-0.1867138903718925,-0.05118031872667664
Ildr1,1.0512197073381224,1.1039076052575827,0.0720642273981377,0.1426194266315789,-0.0705551992334412
Stxbp5l,1.5146082459566697,1.5050196902657755,0.5989446882847027,0.5897823619769785,0.009162326307724178
Fstl1,0.969122687652084,0.9656429369192836,-0.045248777376096054,-0.050438268521722694,0.00518949114562664
Cox17,0.9072193946654016,0.9865638658542604,-0.14047661213752707,-0.019515647112556017,-0.12096096502497106
Arhgap31,0.8055328934576161,0.8930089629910869,-0.3119845931569282,-0.16325343936404463,-0.1487311537928836
Lsamp,1.1393224516181002,1.3022054246392316,0.18817611711948432,0.3809570535197323,-0.192780936400248
Sidt1,0.931535422668999,1.017296519774663,-0.10231746459619569,0.024740254669345322,-0.12705771926554102
Abhd10,1.03980826835265,1.0171943636988792,0.05631753240721486,0.024595373151073446,0.03172215925614141
Nectin3,0.9395853947140446,1.17043016586665,-0.0899038071836825,0.22703885810355054,-0.316942665287233
Dzip3,1.3937130712042622,1.3836067635463583,0.4789335788831287,0.4684339712309232,0.010499607652205534
Ift57,1.0732294319675606,1.1371865543185635,0.10195852435085306,0.18546894632592636,-0.0835104219750733
G730013B05Rik,1.0543537456224517,0.9722889006290716,0.0763589859813387,-0.04054304280881229,0.11690202879015099
Alcam,1.647765396105689,1.291703611209544,0.7205108505500479,0.36927507336628645,0.3512357771837615
Nit2,0.9816453008150601,0.9724372813165935,-0.026726267083355747,-0.04032289039408752,0.013596623310731772
Filip1l,0.8032497268996985,0.8240190096798736,-0.31607950969863335,-0.2792504748884098,-0.03682903481022354
Riox2,1.1100318107524763,1.057416888170441,0.1506010212215483,0.08054427352354815,0.07005674769800016
Epha6,1.032799372340943,1.2193326360732735,0.04656002899468544,0.2860917493786623,-0.23953172038397683
Epha3,1.0143754986620241,1.561346349804178,0.020591803995233172,0.6427906024789842,-0.622198798483751
Chmp2b,1.3104195578389937,1.3431850904880838,0.3900287942853669,0.4256581213924316,-0.03562932710706468
Rbm11,1.1942728354024255,1.5323598841027566,0.2561324624963225,0.6157551628219855,-0.359622700325663
Mir155hg,1.0002454364197468,0.8752319495800682,0.0003540464594516534,-0.19226269146963149,0.19261673792908313
Tiam1,0.7790266212564136,0.8148833032587735,-0.36025546531879665,-0.2953346243341532,-0.06492084098464346
Cfap298,0.8123758105499772,1.051980351024671,-0.29978081256391825,0.0731077581054983,-0.37288857066941655
Ifngr2,0.951932446742621,0.7402145086602607,-0.07106889762240264,-0.43398468126075157,0.3629157836383489
Dnajc28,0.8859889098828843,0.7946002292604416,-0.17463945452366123,-0.3316988852105898,0.1570594306869286
Son,1.0267954499348042,0.9867984256286901,0.03814880798833932,-0.019172680971552853,0.05732148895989217
Gm10785,0.9557505328192047,0.850362426904792,-0.06529399554241598,-0.23385024180440056,0.16855624626198457
Cbr3,0.9176274568923107,0.800853270308969,-0.1240195351271916,-0.32039015386216635,0.19637061873497474
Sim2,0.9199533337157844,0.876470717872142,-0.12036741515725746,-0.19022220228968756,0.0698547871324301
Hlcs,0.9195322211918769,0.7935850265200405,-0.12102796610193871,-0.33354328988973847,0.21251532378779975
Kcnj6,0.8957739708848024,0.8858497323141994,-0.1587933494584284,-0.17486610133424058,0.01607275187581217
Ets2,1.005921177888847,0.9203784178495944,0.008517262674201503,-0.11970094099335392,0.12821820366755543
B3galt5,0.9621141384104058,0.8407167341724808,-0.05572003961260393,-0.25030830516033065,0.1945882655477267
Dscam,0.9065938248627202,0.8971831194580507,-0.14147176034587194,-0.15652561858183753,0.015053858235965584
C2cd2,1.0116479288515003,1.1498234845046928,0.016707294306718027,0.2014124024081973,-0.18470510810147928
