gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
4930433N12Rik,chr9,3133847,3199799,-,3199799,3209799,4.036925902372599,3.3876502505779267,-0.6492756517946723,Mixed,NSC
Gucy1a2,chr9,3532778,3894736,+,3522778,3532778,3.8529171694159503,4.596776660692692,0.7438594912767416,Mixed,NSC
Aasdhppt,chr9,4294793,4309471,-,4309471,4319471,3.03568755979538,5.33145272495548,2.2957651651601,Heterochromatin,NSC
Dync2h1,chr9,6928503,7184446,-,7184446,7194446,4.173647557771206,4.155592164576054,-0.01805539319515237,Mixed,NSC
Dcun1d5,chr9,7184520,7208205,+,7174520,7184520,4.153556497275829,4.76648310448726,0.6129266072114303,Mixed,NSC
Tmem123,chr9,7764041,7794333,+,7754041,7764041,5.427878673148156,5.027683825371663,-0.4001948477764925,Mixed,NSC
Birc2,chr9,7818227,7837064,-,7837064,7847064,5.801894730925561,5.479789125963052,-0.32210560496250906,Mixed,NSC
Yap1,chr9,7931999,8004596,-,8004596,8014596,5.679192356503009,5.411344321215153,-0.26784803528785606,Mixed,NSC
Cfap300,chr9,8021672,8042823,-,8042823,8052823,3.527317801213264,2.506868090033531,-1.020449711179733,Mixed,NSC
Trpc6,chr9,8544142,8680741,+,8534142,8544142,4.691728162240982,4.627876022231579,-0.06385214000940298,Mixed,NSC
Arhgap42,chr9,8994329,9239101,-,9239101,9249101,4.323033724170923,4.710787834072113,0.3877541099011905,Mixed,NSC
Mtmr2,chr9,13748410,13806481,+,13738410,13748410,3.601894009590149,4.456329610645771,0.8544356010556218,Mixed,NSC
Fam76b,chr9,13827716,13854987,+,13817716,13827716,6.392522299158573,5.8737699511607495,-0.5187523479978235,Mixed,NSC
Sesn3,chr9,14275067,14333101,+,14265067,14275067,5.289658683359622,5.570931717868646,0.28127303450902374,Mixed,NSC
Endod1,chr9,14353990,14381507,-,14381507,14391507,6.8551030955433845,5.321716527942816,-1.5333865676005685,Mixed,NSC
Kdm4d,chr9,14462548,14500482,-,14500482,14510482,5.388838758659363,6.342647630675633,0.9538088720162703,Mixed,NSC
