gene,chrom,start,end,neu_signal,nsc_signal,fold_change,enriched_in,gfp_phase,gfp_s3_s2s_ratio
Zfhx4,chr3,5213526,5223526,27.724492127927146,10.933636532068254,2.535706399843407,Neurons,intermediate,1.0
Zc2hc1a,chr3,7498483,7508483,14.46615598400434,13.776943870099386,1.05002648776125,Neither,,
Mrps28,chr3,8918918,8928918,55.62523647406896,34.99765391548475,1.589399009670689,Neither,,
Tpd52,chr3,8999723,9009723,9.842239073467255,20.982125632472833,0.469077311129764,NSCs,,
Car13,chr3,14636727,14646727,4.039006848144531,3.6597194320360824,1.1036383862621493,Neither,,
Ythdf3,chr3,16178212,16188212,28.388072393115362,11.336529286464057,2.5041237644938685,Neurons,intermediate,1.0
Bhlhe22,chr3,18049174,18059174,16.570272067594527,11.016663988510766,1.5041097817701978,Neither,,
Crh,chr3,19690396,19700396,7.689028366406759,6.982180279421807,1.1012360120617632,Neither,,
Ect2,chr3,27148878,27158878,55.879683845297485,21.244080640236536,2.630364890418497,Neurons,intermediate,1.0
Rpl22l1,chr3,28800436,28810436,26.72720688498815,22.988510994990666,1.1626332340886354,Neither,,
Egfem1,chr3,29077023,29087023,8.324511869915327,8.009057818293572,1.0393871612340246,Neither,,
Actrt3,chr3,30594939,30604939,73.78743786313534,47.18190742048423,1.5638926422694857,Neither,,
Mynn,chr3,30597065,30607065,69.26141313211123,42.21647562593221,1.6406251849589781,Neither,,
Sec62,chr3,30787875,30797875,9.222324405392012,8.021407499551772,1.1497139879637515,Neither,,
Skil,chr3,31090058,31100058,23.08329144748052,16.667213673790293,1.3849520321311837,Neither,,
Slc7a14,chr3,31305378,31315378,9.307341510693233,9.284467619538306,1.0024636728881244,Neither,,
Pik3ca,chr3,32392671,32402671,42.026940464321775,24.539081602191924,1.7126533562106812,Neither,,
Gnb4,chr3,32611585,32621585,10.531061967690786,9.162882745186488,1.1493175521888064,Neither,,
Actl6a,chr3,32701298,32711298,43.377097456566496,17.24901101044814,2.514758523273708,Neurons,intermediate,1.0
Ndufb5,chr3,32731990,32741990,89.82057185165088,39.2878228807052,2.286219119964599,Neurons,intermediate,1.0
Dnajc19,chr3,34076321,34086321,15.634844186226529,14.703042598366736,1.0633747458477267,Neither,,
