gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Dynlt1a,chr17,6306340,6317500,-,6317500,6327500,1.3308048941493034,0.9817224829395612,0.7376907668851881,Mixed,NSC,GFP
Sft2d1,chr17,8311102,8327442,+,8301102,8311102,4.945466584920883,4.797322473053138,0.9700444620696765,Mixed,NSC,GFP
Pde10a,chr17,8525372,8986648,+,8515372,8525372,7.584625916993618,6.66815036128362,0.8791666766772764,Mixed,NSC,GFP
Smoc2,chr17,14279506,14404790,+,14269506,14279506,5.844283832967281,5.167693308492502,0.8842303789801977,Mixed,NSC,GFP
Pdcd2,chr17,15519208,15527301,-,15527301,15537301,5.719924511432647,5.200753362182776,0.9092346152100115,Mixed,NSC,GFP
Chd1,chr17,15704967,15772610,+,15694967,15704967,5.273525677382946,5.311095468195279,1.0071242263924989,Mixed,NSC,GFP
Rgmb,chr17,15803188,15831039,-,15831039,15841039,4.379129690945148,4.706149540861448,1.0746769045439528,Mixed,NSC,GFP
Spaca6,chr17,17827158,17843009,+,17817158,17827158,5.26870960085392,4.8349937748909,0.9176808253214931,Mixed,NSC,GFP
Zfp160,chr17,21008903,21043070,+,20998903,21008903,3.8726459681332113,4.586035335763295,1.1842123895394367,Mixed,NSC,GFP
Zfp53,chr17,21488998,21510473,+,21478998,21488998,3.5086263555407524,3.9313541611035663,1.1204824232410073,Mixed,NSC,GFP
Zfp213,chr17,23556767,23564238,-,23564238,23574238,6.713673808813095,5.528038355120024,0.823399901833676,Mixed,NSC,GFP
Mmp25,chr17,23628311,23645277,-,23645277,23655277,7.176928826856614,5.808226082030932,0.8092913030286866,Mixed,NSC,GFP
Nthl1,chr17,24632680,24638837,+,24622680,24632680,7.869262338638305,6.940948169469833,0.8820328857750208,Mixed,NSC,GFP
Gfer,chr17,24693187,24696156,-,24696156,24706156,9.75442428959608,7.367373743327459,0.7552853479200599,Mixed,NSC,GFP
Meiob,chr17,24804289,24839788,+,24794289,24804289,5.800466535145045,5.911862604169052,1.019204674029073,Mixed,NSC,GFP
Gnptg,chr17,25233331,25240124,-,25240124,25250124,10.099390648937225,6.235887080295881,0.617451814377741,Mixed,NSC,GFP
Metrn,chr17,25793221,25797136,-,25797136,25807136,7.47386607414484,6.844890725894769,0.9158433744985137,Mixed,NSC,GFP
Fbxl16,chr17,25809085,25821255,+,25799085,25809085,7.763344806671142,6.615979486604531,0.8522073476524364,Mixed,NSC,GFP
Rab11fip3,chr17,25989036,26069555,-,26069555,26079555,7.3176620880365375,6.195279362459977,0.846620039013346,Mixed,NSC,GFP
Bnip1,chr17,26781066,26792565,+,26771066,26781066,4.451511534762383,5.4537781545917206,1.2251519763573606,Mixed,NSC,GFP
Phf1,chr17,26933052,26937908,+,26923052,26933052,5.614731549739838,4.608397803095977,0.8207690362880324,Mixed,NSC,GFP
Mir3083,chr17,26948056,26948119,-,26948119,26958119,8.37374381275773,6.927957066114744,0.8273428493907022,Mixed,NSC,GFP
Spdef,chr17,27714352,27728955,-,27728955,27738955,9.60921645769477,7.460639900286992,0.7764046041769345,Mixed,NSC,GFP
Scube3,chr17,28142141,28174854,+,28132141,28142141,9.443781981790066,7.253396937163671,0.7680606086788115,Mixed,NSC,GFP
Srpk1,chr17,28587648,28622709,-,28622709,28632709,7.548594642639161,6.09752964435021,0.8077701788234286,Mixed,NSC,GFP
Slc26a8,chr17,28637783,28690233,-,28690233,28700233,6.270299124264717,5.9301079466879365,0.9457456222047982,Mixed,NSC,GFP
Cpne5,chr17,29155556,29238167,-,29238167,29248167,8.774666534554958,7.07779713870287,0.8066172213873023,Mixed,NSC,GFP
BC004004,chr17,29268788,29314065,+,29258788,29268788,7.66123382999897,6.040766745638847,0.7884848419565416,Mixed,NSC,GFP
Zfand3,chr17,30004733,30210828,+,29994733,30004733,6.5846653700947755,5.597504539096355,0.8500818529850042,Mixed,NSC,GFP
Btbd9,chr17,30215524,30576488,-,30576488,30586488,5.886583032393455,5.5592839680353805,0.9443991424979533,Mixed,NSC,GFP
Glo1,chr17,30584936,30626871,-,30626871,30636871,4.289819086360931,4.278469134434064,0.9973542119846142,Mixed,NSC,GFP
Notch3,chr17,32120820,32166852,-,32166852,32176852,7.625333674776554,6.666983232911428,0.87432019597579,Mixed,NSC,GFP
Ephx3,chr17,32183770,32189549,-,32189549,32199549,7.8177545896768565,6.1357444359044235,0.7848474092556597,Mixed,NSC,GFP
Cyp4f39,chr17,32452723,32493320,+,32442723,32452723,6.622988218843937,5.707675432652235,0.8617976122035934,Mixed,NSC,GFP
Cyp4f13,chr17,32924688,32947402,-,32947402,32957402,6.338908532834052,5.880221216710409,0.927639385590161,Mixed,NSC,GFP
Zfp472,chr17,32965814,32979233,+,32955814,32965814,6.665383912754058,5.799257053422927,0.8700559681680424,Mixed,NSC,GFP
Zfp81,chr17,33329342,33358878,-,33358878,33368878,1.6353729734420774,1.8944547080238658,1.1584236371697412,Mixed,NSC,GFP
Adamts10,chr17,33524204,33553782,+,33514204,33524204,6.177489935588836,4.944941777479649,0.8004775125559631,Mixed,NSC,GFP
Hnrnpm,chr17,33646233,33686860,-,33686860,33696860,5.065452593505383,4.5858890814185145,0.9053266212180653,Mixed,NSC,GFP
Cd320,chr17,33843091,33849774,+,33833091,33843091,6.328072532916069,5.389378613134226,0.8516619531620192,Mixed,NSC,GFP
H2-Eb1,chr17,34305867,34316674,+,34295867,34305867,6.053770167505741,5.451767429363727,0.9005573846570311,Mixed,NSC,GFP
Atf6b,chr17,34647146,34655074,+,34637146,34647146,7.21577940583229,6.380830981568496,0.8842885324918704,Mixed,NSC,GFP
H2-Q6,chr17,35424850,35430055,+,35414850,35424850,6.474846292316913,4.827105950375398,0.745516686025932,Mixed,NSC,GFP
Tcf19,chr17,35512734,35516824,-,35516824,35526824,9.284613532710075,6.831234784793853,0.735758657129576,Mixed,NSC,GFP
Vars2,chr17,35655634,35667592,-,35667592,35677592,7.558545945632457,5.849645134568214,0.7739114343742668,Mixed,NSC,GFP
Ppp1r18,chr17,35865593,35875596,+,35855593,35865593,8.946886621785163,7.073433732775847,0.7906028132235895,Mixed,NSC,GFP
Gnl1,chr17,35979851,35989462,+,35969851,35979851,7.727407531666755,6.131364251609644,0.7934568257832191,Mixed,NSC,GFP
2410017I17Rik,chr17,36145018,36163176,+,36135018,36145018,5.632137418401241,5.185499701186021,0.9206983629774425,Mixed,NSC,GFP
Rpp21,chr17,36255645,36258069,-,36258069,36268069,6.0783393099188805,5.394305529769262,0.8874637059116814,Mixed,NSC,GFP
Rnf39,chr17,36942918,36947986,+,36932918,36942918,5.628040592086315,4.792382300885518,0.8515187874842569,Mixed,NSC,GFP
9130008F23Rik,chr17,40875482,40880559,-,40880559,40890559,3.8996393334984782,4.657142163749536,1.1942494588522576,Mixed,NSC,GFP
Ptchd4,chr17,42315947,42505077,+,42305947,42315947,3.324856248301267,4.194063153080145,1.2614269128847215,Mixed,NSC,GFP
