gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type
Ppp1r14c,chr10,3366057,3464975,+,3356057,3366057,6.192345629858971,5.28748744143645,0.8538747281709582,Mixed,NSC
Plekhg1,chr10,3740364,3967303,+,3730364,3740364,6.090102776288987,6.021221802341938,0.9886896861223381,Mixed,NSC
Mthfd1l,chr10,3973118,4167081,+,3963118,3973118,5.317535560929775,5.086418733338515,0.9565368534083016,Mixed,NSC
Akap12,chr10,4266380,4359470,+,4256380,4266380,5.756896364748479,5.484502585728962,0.9526839182502085,Mixed,NSC
Zbtb2,chr10,4367075,4388108,-,4388108,4398108,6.503551983189583,5.104490879658858,0.7848773859043449,Mixed,NSC
Rmnd1,chr10,4401915,4432388,-,4432388,4442388,6.026206197762489,4.995178340709209,0.8289092966257781,Mixed,NSC
Esr1,chr10,4611593,5005614,+,4601593,4611593,6.253298302257061,5.257507865742842,0.840757566905964,Mixed,NSC
Fbxo5,chr10,5799160,5805600,-,5805600,5815600,3.854578100979328,4.4587478632728255,1.1567408277808657,Mixed,NSC
Mtrf1l,chr10,5811887,5823910,-,5823910,5833910,3.8609116741418834,5.0689488100409505,1.31288908886204,Mixed,NSC
Rgs17,chr10,5825663,5922400,-,5922400,5932400,4.290743588805199,4.027749643663565,0.9387066741000789,Mixed,NSC
Cnksr3,chr10,7119063,7212237,-,7212237,7222237,4.421369629216194,4.327872297283014,0.9788533102241997,Mixed,NSC
Pcmt1,chr10,7629373,7681136,-,7681136,7691136,5.745260636711121,6.108151265410581,1.0631634753662276,Mixed,NSC
Lats1,chr10,7681214,7716460,+,7671214,7681214,5.559056399834156,5.195199053855737,0.9345469231092396,Mixed,NSC
Katna1,chr10,7726000,7763150,+,7716000,7726000,5.140638696610928,4.778200869560242,0.9294955649597333,Mixed,NSC
Ginm1,chr10,7767947,7792824,-,7792824,7802824,4.2800814782738685,4.970806596259276,1.1613813011484944,Mixed,NSC
Tab2,chr10,7905653,7956230,-,7956230,7966230,5.131831453859807,4.624898324847222,0.9012178919805901,Mixed,NSC
Ust,chr10,8204756,8518825,-,8518825,8528825,5.382802095592022,5.0537217434843384,0.9388644898579557,Mixed,NSC
Sash1,chr10,8722219,8886070,-,8886070,8896070,6.990334311127663,5.819822036266327,0.8325527474418442,Mixed,NSC
Samd5,chr10,9622936,9675208,-,9675208,9685208,6.228067539036274,5.513274015732606,0.885230287111775,Mixed,NSC
Stxbp5,chr10,9755547,9901079,-,9901079,9911079,4.43092817517519,4.796815321171284,1.0825757339164335,Mixed,NSC
Rab32,chr10,10545002,10558265,-,10558265,10568265,3.107076528191566,3.669289064804713,1.1809458285021308,Mixed,NSC
Shprh,chr10,11149427,11217595,+,11139427,11149427,4.065396591931582,4.672016716325284,1.1492154850519714,Mixed,NSC
Fbxo30,chr10,11281330,11298052,+,11271330,11281330,3.556660849153996,4.796023207386335,1.3484623389174537,Mixed,NSC
Epm2a,chr10,11343404,11459644,+,11333404,11343404,4.116839076077937,4.428063024266561,1.0755977929759457,Mixed,NSC
Utrn,chr10,12382188,12869365,-,12869365,12879365,4.348181741982698,4.840197557677826,1.1131543815072404,Mixed,NSC
B230208H11Rik,chr10,12916648,12923090,-,12923090,12933090,5.6746188980937005,5.281167716602484,0.9306647391557185,Mixed,NSC
Stx11,chr10,12938209,12964298,-,12964298,12974298,4.912058256542682,5.241130598795414,1.0669927604817022,Mixed,NSC
Sf3b5,chr10,13005343,13009183,+,12995343,13005343,2.325090401625633,1.9509847670137883,0.8391006068623046,Mixed,NSC
Plagl1,chr10,13060504,13131694,+,13050504,13060504,5.499515070438385,5.064117236578465,0.9208297771197466,Mixed,NSC
Ltv1,chr10,13178140,13193168,-,13193168,13203168,4.816872083103657,4.662865381248792,0.9680276537973509,Mixed,NSC
Phactr2,chr10,13207717,13474412,-,13474412,13484412,4.908901920425892,5.0082793808539705,1.0202443361140645,Mixed,NSC
Pex3,chr10,13523842,13553142,-,13553142,13563142,4.031366356408596,4.6761400016903885,1.1599392335694836,Mixed,NSC
Aig1,chr10,13647054,13868980,-,13868980,13878980,3.8059359776973727,4.203663173476855,1.1045018093079197,Mixed,NSC
Hivep2,chr10,13966075,14151374,+,13956075,13966075,6.087588744699955,5.770143287440141,0.9478536624971271,Mixed,NSC
Adgrg6,chr10,14402583,14545659,-,14545659,14555659,4.391995306134223,4.764392599074046,1.0847900024892336,Mixed,NSC
Vta1,chr10,14654755,14705560,-,14705560,14715560,1.2234306722283363,2.6648840587536498,2.178206022822588,Mixed,NSC
Cited2,chr10,17723218,17725674,+,17713218,17723218,4.534725673544407,4.893702809874217,1.0791618197378692,Mixed,NSC
Heca,chr10,17868612,17948067,-,17948067,17958067,5.436534218901396,4.304770062414804,0.7918224900430598,Mixed,NSC
Abracl,chr10,18011260,18023288,-,18023288,18033288,3.1986499603152274,3.1629629994710284,0.9888431177881427,Mixed,NSC
Reps1,chr10,18055861,18125155,+,18045861,18055861,6.382112942826748,5.636069338721037,0.8831039797024847,Mixed,NSC
Nhsl1,chr10,18318985,18533892,+,18308985,18318985,4.322555834412574,4.00379334829251,0.9262560165024721,Mixed,NSC
Tnfaip3,chr10,19000910,19015657,-,19015657,19025657,5.638799089282751,5.727074818086624,1.0156550583566015,Mixed,NSC
Ifngr1,chr10,19591949,19610229,+,19581949,19591949,4.690462128639221,4.938413350395361,1.0528628555046184,Mixed,NSC
Slc35d3,chr10,19847916,19851459,-,19851459,19861459,4.93694162722826,4.794982419089476,0.9712455161803314,Mixed,NSC
Pex7,chr10,19853900,19907689,-,19907689,19917689,5.414949005651474,5.39396314321955,0.9961244579755005,Mixed,NSC
Map3k5,chr10,19934472,20142753,+,19924472,19934472,5.4439603356719015,5.429667976625761,0.9973746393866081,Mixed,NSC
