gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Dlx6,chr6,6863334,6868568,+,6853334,6863334,5.702261504781246,5.291696264224052,0.927999576972585,Mixed,NSC,Mecp2
Dlx5,chr6,6877805,6882085,-,6882085,6892085,5.463647861957551,4.670116168045998,0.8547615596830866,Mixed,NSC,Mecp2
Umad1,chr6,8259288,8459470,+,8249288,8259288,4.527888919425011,4.771633204073906,1.053831772153953,Mixed,NSC,Mecp2
Nxph1,chr6,8948431,9249032,+,8938431,8948431,3.7092937691926955,4.562195157527924,1.229936327885094,Mixed,NSC,Mecp2
Phf14,chr6,11907809,12081205,+,11897809,11907809,4.094153803527355,4.439557039999962,1.0843649879921515,Mixed,NSC,Mecp2
Thsd7a,chr6,12311610,12749410,-,12749410,12759410,3.004986140549183,4.136283541083336,1.3764734170545625,Mixed,NSC,Mecp2
Tes,chr6,17065149,17105828,+,17055149,17065149,4.764174225640296,5.219840316977502,1.0956442963157933,Mixed,NSC,Mecp2
Cttnbp2,chr6,18366478,18514843,-,18514843,18524843,4.150725003540516,4.903643318488598,1.1813944104477778,Mixed,NSC,Mecp2
Lsm8,chr6,18848579,18855751,+,18838579,18848579,1.6998720442652702,1.7215475510787965,1.0127512578882931,Mixed,NSC,Mecp2
Fam3c,chr6,22306520,22356243,-,22356243,22366243,4.726069010818005,4.320816074938774,0.914251583091232,Mixed,NSC,Mecp2
Fezf1,chr6,23245044,23248362,-,23248362,23258362,5.500338943088055,5.314344091305733,0.9661848381151037,Mixed,NSC,Mecp2
Ndufa5,chr6,24518666,24528013,-,24528013,24538013,4.577361991649866,4.808686304087638,1.0505366000896936,Mixed,NSC,Mecp2
Gpr37,chr6,25665878,25690729,-,25690729,25700729,2.829716398155689,4.243548783674241,1.4996374853819407,Mixed,NSC,Mecp2
Grm8,chr6,27275119,28135178,-,28135178,28145178,5.038474266040326,4.307233864507674,0.8548686838670064,Mixed,NSC,Mecp2
Zfp800,chr6,28239927,28398005,-,28398005,28408005,4.535218818128109,4.536198833966255,1.0002160900890225,Mixed,NSC,Mecp2
Lep,chr6,29060220,29073877,+,29050220,29060220,6.265508969306946,5.560804074525833,0.8875263129885737,Mixed,NSC,Mecp2
Hilpda,chr6,29272488,29275446,+,29262488,29272488,5.417958997738362,4.785632573237419,0.8832906589428053,Mixed,NSC,Mecp2
Ccdc136,chr6,29396309,29426994,+,29386309,29396309,6.445576595526934,5.514687286586762,0.8555770309849104,Mixed,NSC,Mecp2
Kcp,chr6,29473162,29507952,-,29507952,29517952,6.624847576487064,5.8436061687707905,0.8820740554863392,Mixed,NSC,Mecp2
Nrf1,chr6,30047988,30153458,+,30037988,30047988,4.781936734545231,4.212953852548599,0.8810141343179559,Mixed,NSC,Mecp2
Podxl,chr6,31519488,31563981,-,31563981,31573981,5.888919742619991,4.802928518173695,0.815587362044242,Mixed,NSC,Mecp2
Chchd3,chr6,32790976,33060260,-,33060260,33070260,4.655467925012112,4.819566855168343,1.0352486437022985,Mixed,NSC,Mecp2
Nup205,chr6,35177421,35247596,+,35167421,35177421,5.534895575618744,4.900089342246055,0.885308363147985,Mixed,NSC,Mecp2
Mtpn,chr6,35508906,35539888,-,35539888,35549888,4.494465115857125,5.09478829489708,1.1335694378674626,Mixed,NSC,Mecp2
Clec2l,chr6,38663067,38680865,+,38653067,38663067,6.568901479625702,5.7069891318964965,0.868788967165585,Mixed,NSC,Mecp2
Mrps33,chr6,39801804,39810988,-,39810988,39820988,4.412642595648766,4.479612324571609,1.0151767852191067,Mixed,NSC,Mecp2
Tmem178b,chr6,39871461,40255150,+,39861461,39871461,6.0065307592391965,5.865471680216789,0.9765157151979232,Mixed,NSC,Mecp2
Agk,chr6,40325172,40396762,+,40315172,40325172,4.188093527507783,4.584869837207795,1.0947391234445814,Mixed,NSC,Mecp2
Dennd11,chr6,40401375,40436135,-,40436135,40446135,5.282624384224415,4.31273211107254,0.8163995388261411,Mixed,NSC,Mecp2
Ssbp1,chr6,40471352,40484700,+,40461352,40471352,4.058983708763122,5.14228198811531,1.2668890434355295,Mixed,NSC,Mecp2
