gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type
Tgs1,chr4,3574875,3616619,+,3564875,3574875,3.087858630537987,5.012521044651668,1.6233000420030088,Mixed,Neu
Lyn,chr4,3678115,3813122,+,3668115,3678115,3.7500542519092566,3.908458640575409,1.042240559209378,Mixed,Neu
Rps20,chr4,3831334,3835665,-,3835665,3845665,2.873643638968468,5.0120558621883395,1.744146627724335,Mixed,Neu
Mos,chr4,3870657,3872105,-,3872105,3882105,2.9367074142694474,5.1791990845799445,1.7636074535087292,Mixed,Neu
Plag1,chr4,3900996,3938423,-,3938423,3948423,4.359943054223061,4.647278259015084,1.0659034306683681,Mixed,Neu
Penk,chr4,4133531,4138819,-,4138819,4148819,2.486246953010559,5.327722966210048,2.142877625152557,Mixed,Neu
Fam110b,chr4,5644090,6108223,+,5634090,5644090,3.0201913619041445,5.4415240409374235,1.8017149871942875,Mixed,Neu
Ubxn2b,chr4,6191098,6221688,+,6181098,6191098,3.8801390525102617,4.024309364684423,1.0371559653463682,Mixed,Neu
Sdcbp,chr4,6365650,6408423,+,6355650,6365650,4.26556981754303,4.525318677028021,1.060894293282159,Mixed,Neu
Nsmaf,chr4,6396207,6454271,-,6454271,6464271,3.4146576293706894,4.805970332217217,1.4074530608513574,Mixed,Neu
Tox,chr4,6686353,6991557,-,6991557,7001557,3.1755812032222748,5.533749127419789,1.7425941184576454,Mixed,Neu
Car8,chr4,8143362,8239041,-,8239041,8249041,4.686234768271445,4.517899453322093,0.9640787704258691,Mixed,Neu
Rab2a,chr4,8535644,8607778,+,8525644,8535644,3.082813146495819,3.673201604517301,1.191509647184607,Mixed,Neu
Chd7,chr4,8690406,8867659,+,8680406,8690406,4.165184183716774,3.9218142360925676,0.9415704235659905,Mixed,Neu
Asph,chr4,9448069,9669344,-,9669344,9679344,3.2303706703662876,3.9172467049916584,1.2126307178697504,Mixed,Neu
Gdf6,chr4,9844372,9862345,+,9834372,9844372,3.7996015464782715,4.501162401914597,1.1846406384602564,Mixed,Neu
