gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Gdf7,chr12,8297918,8301954,-,8301954,8311954,6.114550179513295,3.5592677686055496,0.5820980553125266,Mixed,Neu,Mecp2
Vsnl1,chr12,11325242,11436613,-,11436613,11446613,4.46108442141215,5.096914187836647,1.142528073078524,Mixed,Neu,Mecp2
Atp6v1c2,chr12,17284721,17329359,-,17329359,17339359,6.241622660636902,3.3142355297724406,0.5309894093204046,Mixed,Neu,Mecp2
Rnaseh1,chr12,28649602,28659589,+,28639602,28649602,3.81206866124471,2.6964458079417546,0.7073445017806462,Mixed,Neu,Mecp2
Mir5627,chr12,44210313,44210373,+,44200313,44210313,4.174431464862824,4.340991466728846,1.039900044657098,Mixed,Neu,Mecp2
Ttc6,chr12,57564113,57737928,+,57554113,57564113,5.735267537085215,4.697305202992758,0.819021113246973,Mixed,Neu,Mecp2
Tmx1,chr12,70453095,70468040,+,70443095,70453095,3.5225547613302868,5.073645774165789,1.4403312703220363,Mixed,Neu,Mecp2
Six4,chr12,73099609,73113456,-,73113456,73123456,3.952398632176717,4.0792161661624915,1.0320862204923729,Mixed,Neu,Mecp2
Wdr89,chr12,75630596,75669537,-,75669537,75679537,4.437105429045359,4.225376734598478,0.9522822484539353,Mixed,Neu,Mecp2
Mthfd1,chr12,76255298,76319803,+,76245298,76255298,3.2830579242706297,3.7496035672028865,1.1421070397458508,Mixed,Neu,Mecp2
Plek2,chr12,78888691,78906964,-,78906964,78916964,3.879559843858083,3.2805085403760272,0.8455878172802406,Mixed,Neu,Mecp2
Smoc1,chr12,81026808,81186414,+,81016808,81026808,5.7205564133644105,4.634800992043814,0.8102010813521485,Mixed,Neu,Mecp2
Ttc9,chr12,81631249,81667557,+,81621249,81631249,5.046677161852519,4.742476224533717,0.9397225287921653,Mixed,Neu,Mecp2
Abcd4,chr12,84601464,84617413,-,84617413,84627413,4.950094380060832,4.2783884732961655,0.8643044242812171,Mixed,Neu,Mecp2
Gpatch2l,chr12,86241858,86291784,+,86231858,86241858,6.418913306268056,3.773193056869507,0.5878242744274161,Mixed,Neu,Mecp2
