gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Npr3,chr15,11902287,11912287,13.022599171898761,13.022599171898761,1.0,intermediate
Gm5144,chr15,11901519,11911519,12.979017790575819,12.979017790575819,1.0,intermediate
Pdzd2,chr15,12734924,12744924,20.137671292026837,20.137671292026837,1.0,intermediate
Basp1,chr15,25408764,25418764,11.524276939944427,11.524276939944427,1.0,intermediate
Gm48957,chr15,25410022,25420022,11.321800671947003,11.321800671947003,1.0,intermediate
Otulin,chr15,27625693,27635693,21.014807433250546,21.014807433250546,1.0,intermediate
Trio,chr15,28020848,28030848,43.83392886559764,43.83392886559764,1.0,intermediate
Cct5,chr15,31596804,31606804,38.62382998725374,38.62382998725374,1.0,intermediate
Sdc2,chr15,32915723,32925723,15.487813165003061,15.487813165003061,1.0,intermediate
Ywhaz,chr15,36791929,36801929,28.050362827434142,28.050362827434142,1.0,intermediate
Klf10,chr15,38295706,38305706,42.91768259848951,42.91768259848951,1.0,intermediate
Dcaf13,chr15,39107865,39117865,22.18953786004583,22.18953786004583,1.0,intermediate
Eny2,chr15,44423042,44433042,51.437901924729346,51.437901924729346,1.0,intermediate
Eif3h,chr15,51860523,51870523,12.245175049183766,12.245175049183766,1.0,intermediate
Derl1,chr15,57887448,57897448,45.27702991597255,45.27702991597255,1.0,intermediate
Zhx1,chr15,58071541,58081541,51.01842456756532,51.01842456756532,1.0,intermediate
Atad2,chr15,58130082,58140082,16.847211462901036,16.847211462901036,1.0,intermediate
Trib1,chr15,59643350,59653350,59.37159742790461,59.37159742790461,1.0,intermediate
Myc,chr15,61980391,61990391,45.13277203786969,45.13277203786969,1.0,intermediate
Zfat,chr15,68253856,68263856,25.426928789526226,25.426928789526226,1.0,intermediate
Trappc9,chr15,73056204,73066204,23.374495135766267,23.374495135766267,1.0,intermediate
Peg13,chr15,72805324,72815324,23.00311456603805,23.00311456603805,1.0,intermediate
Adgrb1,chr15,74511195,74521195,11.36921302676201,11.36921302676201,1.0,intermediate
Arc,chr15,74667570,74677570,20.074442782640457,20.074442782640457,1.0,intermediate
Mafa,chr15,75743228,75753228,14.421880627922215,14.421880627922215,1.0,intermediate
Dgat1,chr15,76506953,76516953,25.03853381670714,25.03853381670714,1.0,intermediate
Myh9,chr15,77837175,77847175,60.87926069807012,60.87926069807012,1.0,intermediate
Txn2,chr15,77924006,77934006,55.61987471528451,55.61987471528451,1.0,intermediate
Cacng2,chr15,78115028,78125028,11.690775817779697,11.690775817779697,1.0,intermediate
Ift27,chr15,78169107,78179107,81.95279464291731,81.95279464291731,1.0,intermediate
Gga1,chr15,78872190,78882190,39.82933264003198,39.82933264003198,1.0,intermediate
Pdxp,chr15,78908919,78918919,26.409868873343868,26.409868873343868,1.0,intermediate
Pick1,chr15,79224173,79234173,21.407708092201748,21.407708092201748,1.0,intermediate
Ddx17,chr15,79541741,79551741,29.884944723228614,29.884944723228614,1.0,intermediate
Cby1,chr15,79654199,79664199,26.265210305750372,26.265210305750372,1.0,intermediate
Gm16576,chr15,79737698,79747698,19.03371973414421,19.03371973414421,1.0,intermediate
Mief1,chr15,80229018,80239018,21.32968888942202,21.32968888942202,1.0,intermediate
Atf4,chr15,80250184,80260184,32.3431264458696,32.3431264458696,1.0,intermediate
Mrtfa,chr15,81185757,81195757,53.2440648808817,53.2440648808817,1.0,intermediate
Tef,chr15,81797421,81807421,25.04527084894379,25.04527084894379,1.0,intermediate
Ndufa6,chr15,82349322,82359322,26.51826191031138,26.51826191031138,1.0,intermediate
Poldip3,chr15,83144384,83154384,31.318263243593776,31.318263243593776,1.0,intermediate
Shisal1,chr15,84442097,84452097,19.168329309684037,19.168329309684037,1.0,intermediate
Phf21b,chr15,84851049,84861049,21.241637267959117,21.241637267959117,1.0,intermediate
Nup50,chr15,84918411,84928411,25.73501845120192,25.73501845120192,1.0,intermediate
Cdpf1,chr15,85806697,85816697,21.128653182884058,21.128653182884058,1.0,intermediate
Gtse1,chr15,85854745,85864745,15.697935409237942,15.697935409237942,1.0,intermediate
Celsr1,chr15,86029203,86039203,19.263569507924718,19.263569507924718,1.0,intermediate
Zbed4,chr15,88746660,88756660,19.877337058146797,19.877337058146797,1.0,intermediate
Alg12,chr15,88814318,88824318,33.42066843708158,33.42066843708158,1.0,intermediate
Pim3,chr15,88857186,88867186,46.5198956219256,46.5198956219256,1.0,intermediate
Lmf2,chr15,89350659,89360659,15.131190917119383,15.131190917119383,1.0,intermediate
Scaf11,chr15,96455843,96465843,30.758696730758746,30.758696730758746,1.0,intermediate
9330020H09Rik,chr15,98562324,98572324,28.500620289905868,28.500620289905868,1.0,intermediate
Ddn,chr15,98804490,98814490,17.648354654928045,17.648354654928045,1.0,intermediate
Prkag1,chr15,98826521,98836521,17.588014862893022,17.588014862893022,1.0,intermediate
Lmbr1l,chr15,98913231,98923231,32.21068182252646,32.21068182252646,1.0,intermediate
Gm34284,chr15,99069669,99079669,33.2918303374211,33.2918303374211,1.0,intermediate
Mcrs1,chr15,99246961,99256961,28.625363103236754,28.625363103236754,1.0,intermediate
Tmbim6,chr15,99387882,99397882,44.65467982474765,44.65467982474765,1.0,intermediate
Cox14,chr15,99720647,99730647,59.906855493105446,59.906855493105446,1.0,intermediate
Tfcp2,chr15,100547008,100557008,38.46786511760354,38.46786511760354,1.0,intermediate
A330009N23Rik,chr15,101220186,101230186,21.616525642881793,21.616525642881793,1.0,intermediate
Eif4b,chr15,102068773,102078773,18.000846118058764,18.000846118058764,1.0,intermediate
Espl1,chr15,102291266,102301266,8.337150189652046,8.337150189652046,1.0,intermediate
Pcbp2,chr15,102465539,102475539,15.607222453502814,15.607222453502814,1.0,intermediate
Map3k12,chr15,102512064,102522064,105.46239339563847,105.46239339563847,1.0,intermediate
Tarbp2,chr15,102513192,102523192,106.63617372204067,106.63617372204067,1.0,intermediate
Cbx5,chr15,103234816,103244816,78.52327579276361,78.52327579276361,1.0,intermediate
