gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
Flnb,chr14,7817957,7951588,+,7807957,7817957,7.173017406463623,5.634860067180792,-1.5381573392828312,Mixed,NSC
Abhd6,chr14,8002902,8056763,+,7992902,8002902,7.676543225407601,5.9300429296612736,-1.7465002957463271,Mixed,NSC
Rpp14,chr14,8080367,8091834,+,8070367,8080367,4.218101961791516,3.96346140393416,-0.2546405578573556,Mixed,NSC
Pxk,chr14,8098211,8165117,+,8088211,8098211,5.388559218466282,5.58762998388211,0.19907076541582747,Mixed,NSC
Pdhb,chr14,8165996,8173025,-,8173025,8183025,4.9224605929851535,5.012031111101309,0.08957051811615546,Mixed,NSC
Kctd6,chr14,8214140,8223563,+,8204140,8214140,5.161956943631171,5.109524000902971,-0.05243294272819998,Mixed,NSC
Fhit,chr14,9550092,11162035,-,11162035,11172035,3.9181008417606353,4.780277562757333,0.8621767209966977,Mixed,NSC
Ptprg,chr14,11553532,12242041,+,11543532,11553532,6.763699421477318,5.970478633395831,-0.793220788081487,Mixed,NSC
Fezf2,chr14,12342094,12348189,-,12348189,12358189,4.38482039308548,4.80105259466966,0.4162322015841795,Mixed,NSC
Cadps,chr14,12372563,12823079,-,12823079,12833079,4.124458127462864,3.450593484306335,-0.6738646431565289,Mixed,NSC
Atxn7,chr14,13961440,14107302,+,13951440,13961440,4.735792090415954,4.68349004582564,-0.052302044590313734,Mixed,NSC
Psmd6,chr14,14112174,14120984,-,14120984,14130984,4.449502533328533,4.917146716209252,0.4676441828807185,Mixed,NSC
Il3ra,chr14,14346275,14356011,+,14336275,14346275,3.1662661342024805,2.801767007509867,-0.36449912669261364,Mixed,NSC
Slc4a7,chr14,14702279,14799940,+,14692279,14702279,3.5461647050976755,4.3996171509981155,0.85345244590044,Mixed,NSC
Lrrc3b,chr14,15357515,15438987,-,15438987,15448987,3.618031302559376,4.141408258036773,0.5233769554773966,Mixed,NSC
Oxsm,chr14,16238652,16249808,-,16249808,16259808,3.3092588744163516,4.518699155871073,1.2094402814547216,Mixed,NSC
Ngly1,chr14,16249280,16311926,+,16239280,16249280,5.960744391322136,5.962027998387814,0.001283607065678538,Mixed,NSC
Top2b,chr14,16365179,16435462,+,16355179,16365179,4.079943309545517,5.086917622327805,1.0069743127822877,Mixed,NSC
Rarb,chr14,16430839,16819156,-,16819156,16829156,4.5938214289307595,4.767661504960061,0.1738400760293013,Mixed,NSC
Thrb,chr14,17660261,18038090,+,17650261,17660261,4.449406338232755,4.4265741838892305,-0.022832154343524813,Mixed,NSC
Nr1d2,chr14,18204054,18239127,-,18239127,18249127,5.620770166015625,5.200557983990509,-0.42021218202511523,Mixed,NSC
Rpl15,chr14,18267823,18271391,-,18271391,18281391,4.971645839715004,4.902815759237607,-0.06883008047739647,Mixed,NSC
Ube2e1,chr14,18282722,18331859,-,18331859,18341859,4.661770350182056,5.224500418885549,0.5627300687034928,Mixed,NSC
Ube2e2,chr14,18573575,18894267,-,18894267,18904267,4.385473388183117,4.654624244340261,0.26915085615714407,Mixed,NSC
Nid2,chr14,19751265,19811787,+,19741265,19751265,5.92455164462328,5.5753861355384196,-0.34916550908486066,Mixed,NSC
Rtraf,chr14,19811351,19823824,-,19823824,19833824,5.119974393749237,4.8829252063473065,-0.23704918740193026,Mixed,NSC
Saysd1,chr14,20075636,20138534,-,20138534,20148534,7.606299834871292,5.916252997303009,-1.690046837568283,Mixed,NSC
Kcnk5,chr14,20140057,20181809,-,20181809,20191809,5.956543227940797,5.004343502545357,-0.95219972539544,Mixed,NSC
Dnajc9,chr14,20384638,20388910,-,20388910,20398910,5.871054710984231,5.741365028719106,-0.12968968226512434,Mixed,NSC
Mrps16,chr14,20389304,20393634,-,20393634,20403634,5.297675141942502,5.928780712131659,0.631105570189157,Mixed,NSC
Anxa7,chr14,20455260,20480133,-,20480133,20490133,5.901106834638118,4.69963830281496,-1.2014685318231582,Mixed,NSC
Ppp3cb,chr14,20499364,20546573,-,20546573,20556573,4.457515020751954,5.619491403575737,1.1619763828237835,Mixed,NSC
Usp54,chr14,20548912,20641063,-,20641063,20651063,6.7765458011507995,6.712869604746501,-0.06367619640429822,Mixed,NSC
Sec24c,chr14,20674308,20694852,+,20664308,20674308,6.161303861010074,5.639034442691009,-0.5222694183190653,Mixed,NSC
Fut11,chr14,20694968,20701016,+,20684968,20694968,7.628675157427788,5.683700431156159,-1.9449747262716288,Mixed,NSC
